"street","state","city","county","country","postal_code","neighborhood","sublocality","housenumber","postal_town","subpremise","latitude","longitude","location_type","postal_code_suffix","street_number","address"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Upper East Side","","","","","43.0701796","-87.8877313","ROOFTOP","","2830","Goodwill - Oakland"
"North Downer Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Historic Water Tower","","","","","43.0670958","-87.877837","ROOFTOP","","2650","Stone Creek - Downer"
"North Maryland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0753494","-87.8830974","ROOFTOP","","3101","KIRC Parking"
"North Lake Drive","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Northpoint","","","","","43.0608881","-87.8803217","ROOFTOP","","2301","Columbia St. Mary's - Main"
"East Brady Street","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.052786","-87.89486199999999","ROOFTOP","1612","1317","Rochambo"
"North Prospect Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Upper East Side","","","","","43.0737517","-87.88008649999999","ROOFTOP","","3034","Zelazo Parking"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Upper East Side","","","","","43.070453","-87.887553","ROOFTOP","3565","2844","Miramar Theatre"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Cambridge Woods","","","","","43.071544","-87.888294","ROOFTOP","3229","2921","Shawarma House"
"West Fond Du Lac Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53216","Capitol Heights","","","","","43.0943643","-87.9825621","ROOFTOP","","5501","Culver's"
"North Downer Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0803017","-87.87960439999999","ROOFTOP","","3409","UWM Klotsche Center "
"East Brady Street","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.05275109999999","-87.9040954","ROOFTOP","","615","615 E Brady St, Milwaukee, WI 53202, USA"
"East North Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Murray Hill","","","","","43.0603473","-87.88773479999999","ROOFTOP","","1804","Insomnia Cookes"
"West Layton Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53207","Town of Lake","","","","","42.9595681","-87.9179738","ROOFTOP","5932","530","Oakland Gyros"
"North Downer Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0764916","-87.87859259999999","ROOFTOP","","3243","Curtin"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0597133","-87.8878271","ROOFTOP","","2232","Chubbys"
"North Plankinton Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53203","Westown","","","","# 1200","43.039173","-87.9110965","ROOFTOP","2411","710","Zilber"
"North Farwell Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0599324","-87.8858835","ROOFTOP","","2235","Von Trier"
