Requested Pick Up Time,# of Pass-engers,Pick Up Location,Drop Off Location,Cancellation Time,Pickup Time,Drop Off Time,Wait Time (min),Passenger Canceled?,Cancellation Message
2/15/19 1:44,2,Walgreensâ€“Brady,"3463 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 1:48,2/15/19 1:58,4,no,
2/15/19 1:48,2,Sandburg,"3045 North Cramer Street, Milwaukee, Wisconsin 53211, United States",,2/15/19 1:52,2/15/19 1:54,3,no,
2/15/19 1:48,2,"Landmark Lanes, 2220 N Farwell Ave, Milwaukee, Wisconsin, United States, 53202","2968 North Newhall Street, Milwaukee, Wisconsin 53211, United States",,2/15/19 1:51,2/15/19 1:56,3,no,
2/15/19 1:49,2,"3022 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States","3496 North Cramer Street, Milwaukee, Wisconsin 53211, United States",,2/15/19 1:53,2/15/19 1:56,3,no,
2/15/19 1:49,1,Knuckleheads,Sandburg,,2/15/19 1:53,2/15/19 1:56,4,no,
2/15/19 1:49,2,"2720 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",Cambridge Commons,,2/15/19 1:56,2/15/19 2:00,6,no,
2/15/19 1:49,2,"Hi Hat Garage, 1709 N Arlington Pl, Milwaukee, Wisconsin, United States, 53202","1702 East Bradford Avenue, Milwaukee, Wisconsin 53211, United States",2/15/19 1:50,,,,yes,I've had a change in my plans
2/15/19 1:52,2,"1708 N Arlington Pl, Milwaukee, WI 53202, USA","3042 N Downer Ave, Milwaukee, WI 53211, USA",,2/15/19 2:00,2/15/19 2:08,7,no,
2/15/19 1:53,1,"2714 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","1704 East Thomas Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 1:59,2/15/19 2:00,5,no,
2/15/19 1:56,2,Jack's on Brady,Sandburg,,2/15/19 2:00,2/15/19 2:10,3,no,
2/15/19 7:43,1,Lubar,USR Parking,,2/15/19 7:46,2/15/19 7:54,3,no,
2/15/19 8:50,1,Lubar,USR Parking,,2/15/19 8:56,2/15/19 9:04,6,no,
2/15/19 9:00,1,Union North,USR Parking,2/15/19 9:04,,,,yes,I'm not ready to go
2/15/19 9:02,1,EMS Cramer,USR Parking,,2/15/19 9:07,2/15/19 9:18,4,no,
2/15/19 9:06,1,Lubar,USR Parking,,2/15/19 9:10,2/15/19 9:18,3,no,
2/15/19 9:20,1,EMS Parking,USR Parking,,2/15/19 9:26,2/15/19 9:36,6,no,
2/15/19 10:15,1,Physics Kenwood,Freshwater,,2/15/19 10:19,2/15/19 10:39,3,no,
2/15/19 10:42,1,USR Parking,Garland Hall,,2/15/19 10:57,2/15/19 11:07,15,no,
2/15/19 11:12,1,Curtin,Global Water Center,,2/15/19 11:17,2/15/19 11:31,4,no,
2/15/19 11:28,1,Garland Hall,USR Parking,,2/15/19 11:33,2/15/19 11:43,4,no,
2/15/19 12:10,1,Sandburg,USR Parking,,2/15/19 12:14,2/15/19 12:23,4,no,
2/15/19 12:12,1,USR Parking,EMS Parking,,2/15/19 12:23,2/15/19 12:34,11,no,
2/15/19 12:14,1,EMS Parking,USR Parking,,2/15/19 12:17,2/15/19 12:27,3,no,
2/15/19 12:22,1,USR Parking,EMS Cramer,,2/15/19 12:23,2/15/19 12:34,1,no,
2/15/19 12:35,1,EMS Parking,USR Parking,,2/15/19 12:38,2/15/19 12:51,2,no,
2/15/19 12:43,2,EMS Cramer,USR Parking,,2/15/19 13:00,2/15/19 13:10,17,no,
2/15/19 12:54,1,KIRC Parking,Freshwater,,2/15/19 12:59,2/15/19 13:16,4,no,
2/15/19 12:55,1,USR Parking,EMS Parking,2/15/19 13:08,,,,yes,Wait time is too long
2/15/19 13:01,1,Lubar,USR Parking,,2/15/19 13:28,2/15/19 13:37,27,no,
2/15/19 13:02,1,USR Parking,Union North,2/15/19 13:05,,,,yes,Wait time is too long
2/15/19 13:03,1,USR Parking,Sandburg,,2/15/19 13:29,2/15/19 13:36,25,no,
2/15/19 13:09,1,USR Parking,Union North,,2/15/19 13:14,2/15/19 13:24,5,no,
2/15/19 13:28,1,USR Parking,Norris Health Center,2/15/19 13:28,,,,yes,I'm not ready to go
2/15/19 13:30,1,USR Parking,Union North,,2/15/19 13:40,2/15/19 13:51,9,no,
2/15/19 13:41,1,USR Parking,Norris Health Center,,2/15/19 13:53,2/15/19 14:03,12,no,
2/15/19 13:44,1,USR Parking,Sandburg,,2/15/19 13:53,2/15/19 14:06,8,no,
2/15/19 13:48,1,USR Parking,Physics Kenwood,,2/15/19 13:53,2/15/19 14:08,4,no,
2/15/19 13:53,1,Union South,USR Parking,,2/15/19 13:58,2/15/19 14:09,5,no,
2/15/19 14:03,1,USR Parking,Library,,2/15/19 14:11,2/15/19 14:20,7,no,
2/15/19 14:20,1,Global Water Center,Curtin,,2/15/19 14:35,2/15/19 14:48,15,no,
2/15/19 14:48,2,USR Parking,EMS Cramer,,2/15/19 14:58,2/15/19 15:08,10,no,
2/15/19 14:55,1,USR Parking,Union North,,2/15/19 14:59,2/15/19 15:11,3,no,
2/15/19 15:11,1,Norris Health Center,USR Parking,,2/15/19 15:15,2/15/19 15:25,4,no,
2/15/19 15:36,1,USR Parking,Physics Kenwood,,2/15/19 15:44,2/15/19 15:52,7,no,
2/15/19 15:42,1,EMS Parking,USR Parking,,2/15/19 15:53,2/15/19 16:02,11,no,
2/15/19 16:22,1,EMS Parking,USR Parking,2/15/19 16:22,,,,yes,I'm not ready to go
2/15/19 16:27,2,EMS Cramer,USR Parking,,2/15/19 16:37,2/15/19 16:45,9,no,
2/15/19 16:30,1,EMS Parking,USR Parking,,2/15/19 16:36,2/15/19 16:45,6,no,
2/15/19 16:41,1,Freshwater,Physics Kenwood,,2/15/19 17:16,2/15/19 17:33,34,no,
2/15/19 16:48,1,Freshwater,KIRC Parking,,2/15/19 17:16,2/15/19 17:33,27,no,
2/15/19 18:00,1,Cunningham,"3235 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:01,2/15/19 18:05,1,no,
2/15/19 18:00,1,"3228 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",Klotsche,,2/15/19 18:06,2/15/19 18:11,6,no,
2/15/19 18:00,3,Sandburg,"Blaze Pizza, 2907 N Oakland Ave, Milwaukee, Wisconsin, United States, 53211",,2/15/19 18:04,2/15/19 18:14,4,no,
2/15/19 18:00,1,"2944 North Murray Avenue, Milwaukee, Wisconsin 53211, United States","UWM Klotsche Center & Pavilion, 3409 N Downer Ave., Milwaukee, Wisconsin, United States, 53211",,2/15/19 18:03,2/15/19 18:08,3,no,
2/15/19 18:00,1,"2594-2596 N Oakland Ave, Milwaukee, WI 53211, USA",Klotsche,2/15/19 18:13,,,,yes,Kept canceling and switching my ride to a different driver
2/15/19 18:00,1,Klotsche,"2508 East Belleview Place, Milwaukee, Wisconsin 53211, United States",2/15/19 18:05,,,,yes,Wait time is too long
2/15/19 18:00,1,"3329 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","3023 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:04,2/15/19 18:08,4,no,
2/15/19 18:00,4,Sandburg,"Asian Fusion, 1609 E North Ave, Milwaukee, Wisconsin, United States, 53202",2/15/19 18:04,,,,yes,I'm not ready to go
2/15/19 18:00,1,"3560 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",Cambridge Commons,2/15/19 18:00,,,,yes,I'm not ready to go
2/15/19 18:00,4,Sandburg,"Oakland Cafe, 2979 N Oakland Ave, Milwaukee, Wisconsin, United States, 53211",,2/15/19 18:29,2/15/19 18:33,29,no,
2/15/19 18:00,2,Sandburg,"East Garden, 3600 N Oakland Ave, Shorewood, Wisconsin, United States, 53211",,2/15/19 18:05,2/15/19 18:09,5,no,
2/15/19 18:00,1,"3552 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",Collectivo - Prospect,2/15/19 18:01,,,,yes,It took too long to receive my ETA
2/15/19 18:00,3,Cambridge Commons,Starbucks - Downer,,2/15/19 18:10,2/15/19 18:15,9,no,
2/15/19 18:00,1,Lapham,Brady and Prospect,,2/15/19 18:10,2/15/19 18:13,9,no,
2/15/19 18:01,2,Union South,"2835 North Cramer Street, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:06,2/15/19 18:09,5,no,
2/15/19 18:01,3,Sandburg,Blaze Pizza,,2/15/19 18:18,2/15/19 18:22,17,no,
2/15/19 18:02,3,Sandburg,Noodles & Company,2/15/19 18:04,,,,yes,It took too long to receive my ETA
2/15/19 18:04,5,Cambridge Commons,Ian's,,2/15/19 18:14,2/15/19 18:19,10,no,
2/15/19 18:04,1,Knuckleheads,Sandburg,2/15/19 18:13,,,,no,No show
2/15/19 18:04,4,Sandburg,"Culver's, 1325 E Capitol Dr, Shorewood, Wisconsin, United States, 53211",,2/15/19 18:09,2/15/19 18:17,5,no,
2/15/19 18:04,3,Sandburg,Noodles & Company,,2/15/19 18:17,2/15/19 18:22,12,no,
2/15/19 18:05,1,"3044 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",Pick n Save,,2/15/19 18:15,2/15/19 18:26,9,no,
2/15/19 18:06,1,"3560 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",Cambridge Commons,,2/15/19 18:22,2/15/19 18:39,16,no,
2/15/19 18:08,1,"3121 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States","2708 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",2/15/19 18:32,,,,yes,Come on bro pick me up next time
2/15/19 18:08,1,EMS Cramer,"3495 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:16,2/15/19 18:18,7,no,
2/15/19 18:08,1,EMS Parking,Yo Factory,,2/15/19 18:16,2/15/19 18:30,8,no,
2/15/19 18:09,2,Library,Thai Kitchen,,2/15/19 18:14,2/15/19 18:26,4,no,
2/15/19 18:10,1,EMS Cramer,"3495 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:16,2/15/19 18:18,6,no,
2/15/19 18:10,1,Sandburg,"3950 North Farwell Avenue, Milwaukee, Wisconsin 53211, United States",2/15/19 18:10,,,,yes,I've had a change in my plans
2/15/19 18:10,2,Sandburg,"Stone Bowl Grill, 1958 N Farwell Ave, Milwaukee, Wisconsin, United States, 53202",,2/15/19 18:20,2/15/19 18:35,9,no,
2/15/19 18:10,1,"Goodwill, 2830 N Oakland Ave, Milwaukee, Wisconsin, United States, 53211","2213 East Kenwood Boulevard, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:19,2/15/19 18:24,9,no,
2/15/19 18:10,1,"2320 East Belleview Place, Milwaukee, Wisconsin 53211, United States",Cambridge Commons,2/15/19 18:11,,,,yes,I'm not ready to go
2/15/19 18:11,3,"Pita Pit, 2224 N Farwell Ave, Milwaukee, Wisconsin, United States, 53202",Sandburg,2/15/19 18:13,,,,no,Admin cancelled ride
2/15/19 18:12,1,Klotsche,"2912 North Farwell Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:20,2/15/19 18:23,8,no,
2/15/19 18:12,1,Klotsche,"2545 N Cramer St, Milwaukee, WI 53211, USA",,2/15/19 18:20,2/15/19 18:28,7,no,
2/15/19 18:13,1,"2634 North Murray Avenue, Milwaukee, Wisconsin 53211, United States","3357 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:28,2/15/19 18:34,15,no,
2/15/19 18:13,1,Sandburg,McDonald's - North,2/15/19 18:19,,,,yes,I've had a change in my plans
2/15/19 18:13,2,"2727 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States","Blaze Pizza, 2907 N Oakland Ave, Milwaukee, Wisconsin, United States, 53211",,2/15/19 18:19,2/15/19 18:22,6,no,
2/15/19 18:13,1,"2968 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",Klotsche,2/15/19 18:18,,,,yes,I'm not ready to go
2/15/19 18:14,1,"2576 North Stowell Avenue, Milwaukee, Wisconsin 53211, United States",McDonald's - North,,2/15/19 18:30,2/15/19 18:39,16,no,
2/15/19 18:14,1,Lapham,Brady and Prospect,2/15/19 18:46,,,,no,No show
2/15/19 18:14,1,Knuckleheads,Sandburg,2/15/19 18:14,,,,yes,I've had a change in my plans
2/15/19 18:14,1,"2924 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",Klotsche,2/15/19 18:21,,,,yes,I'm not ready to go
2/15/19 18:14,2,Library,"3358 North Cambridge Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:30,2/15/19 18:37,15,no,
2/15/19 18:14,2,Sandburg,"2727 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:26,2/15/19 18:34,11,no,
2/15/19 18:15,2,"1869 North Cambridge Avenue, Milwaukee, Wisconsin 53202, United States",Union North,,2/15/19 18:34,2/15/19 18:43,19,no,
2/15/19 18:15,2,Knuckleheads,Sandburg,,2/15/19 18:25,2/15/19 18:28,10,no,
2/15/19 18:15,1,Library,"1805 East Park Place, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:30,2/15/19 18:35,14,no,
2/15/19 18:16,2,Starbucks - Downer,Cambridge Commons,,2/15/19 18:41,2/15/19 18:45,25,no,
2/15/19 18:16,1,EMS Parking,"2588 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:32,2/15/19 18:39,16,no,
2/15/19 18:19,2,"1825 East Lafayette Place, Milwaukee, Wisconsin 53202, United States",Metro Market Shorewood,,2/15/19 18:41,2/15/19 18:53,21,no,
2/15/19 18:19,1,"2968 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",Klotsche,,2/15/19 18:29,2/15/19 18:37,10,no,
2/15/19 18:19,1,"3107 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",Zelazo Parking,,2/15/19 18:32,2/15/19 18:35,12,no,
2/15/19 18:20,1,"3209 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States","1902 East Linnwood Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:27,2/15/19 18:31,7,no,
2/15/19 18:21,1,"2555 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",Metro Market Shorewood,,2/15/19 18:47,2/15/19 18:53,26,no,
2/15/19 18:21,1,"3552 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","Colectivo Coffee, 2211 N Prospect Ave, Milwaukee, Wisconsin, United States, 53202",,2/15/19 18:36,2/15/19 18:50,15,no,
2/15/19 18:22,1,Lapham,"1806 East Park Place, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:47,2/15/19 18:50,24,no,
2/15/19 18:23,2,"2917 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Klotsche,2/15/19 18:33,,,,yes,Wait time is too long
2/15/19 18:23,3,"3117 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",Cambridge Commons,2/15/19 18:23,,,,yes,I've had a change in my plans
2/15/19 18:23,1,"2636 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",Union North,2/15/19 18:23,,,,yes,I've had a change in my plans
2/15/19 18:24,2,"2636 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",Union North,,2/15/19 18:33,2/15/19 18:36,8,no,
2/15/19 18:26,1,"2915 North Booth Street, Milwaukee, Wisconsin 53212, United States",Zelazo Front,2/15/19 18:27,,,,yes,I'm not ready to go
2/15/19 18:29,1,"2320 East Belleview Place, Milwaukee, Wisconsin 53211, United States",Cambridge Commons,2/15/19 18:29,,,,yes,I'm not ready to go
2/15/19 18:29,3,Kenilworth,"2511 North Prospect Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:45,2/15/19 18:47,15,no,
2/15/19 18:29,2,"2857 North Downer Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/15/19 18:47,2/15/19 18:52,17,no,
2/15/19 18:30,1,"1728 East Newport Avenue, Milwaukee, Wisconsin 53211, United States","2965 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:40,2/15/19 18:42,9,no,
2/15/19 18:31,2,"Boswell Book Company, 2559 N Downer Ave, Milwaukee, Wisconsin, United States, 53211",Goodwill - Oakland,,2/15/19 18:46,2/15/19 18:50,14,no,
2/15/19 18:31,1,"225 E Capitol Dr, Milwaukee, WI 53212, USA","2750 N Murray Ave, Milwaukee, WI 53211, USA",,2/15/19 18:55,2/15/19 19:13,23,no,
2/15/19 18:33,2,"2917 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Klotsche,2/15/19 18:34,,,,yes,It took too long to receive my ETA
2/15/19 18:34,1,"2862 N Doctor M.L.K. Jr Dr, Milwaukee, WI 53212, USA","2320 East Bradford Avenue, Milwaukee, Wisconsin 53211, United States",2/15/19 18:34,,,,yes,It took too long to receive my ETA
2/15/19 18:34,2,"2917 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Klotsche,,2/15/19 18:44,2/15/19 18:50,10,no,
2/15/19 18:34,1,"2218 North Summit Avenue, Milwaukee, Wisconsin 53211, United States","3314 North Cramer Street, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:46,2/15/19 18:53,12,no,
2/15/19 18:34,1,"2915 North Booth Street, Milwaukee, Wisconsin 53212, United States",Zelazo Front,,2/15/19 19:02,2/15/19 19:08,27,no,
2/15/19 18:35,2,"2917 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Klotsche,2/15/19 18:43,,,,yes,It took too long to receive my ETA
2/15/19 18:36,1,"415 East Vine Street, Milwaukee, Wisconsin 53212, United States",Sandburg,,2/15/19 18:58,2/15/19 19:10,22,no,
2/15/19 18:38,1,Library,"1824 East Park Place, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:59,2/15/19 19:12,20,no,
2/15/19 18:39,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States","3473 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:37,2/15/19 19:41,58,no,
2/15/19 18:40,3,Blaze Pizza,Sandburg,,2/15/19 18:51,2/15/19 18:54,10,no,
2/15/19 18:40,1,"2862 N Doctor M.L.K. Jr Dr, Milwaukee, WI 53212, USA","2320 East Bradford Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:05,2/15/19 19:16,24,no,
2/15/19 18:40,1,"2320 East Belleview Place, Milwaukee, Wisconsin 53211, United States",Cambridge Commons,2/15/19 18:59,,,,yes,I've had a change in my plans
2/15/19 18:41,5,"Ian's Pizza, 2035 E North Ave, Milwaukee, Wisconsin, United States, 53202",Cambridge Commons,2/15/19 18:46,,,,yes,I'm not ready to go
2/15/19 18:41,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States","2213 East Kenwood Boulevard, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:56,2/15/19 19:00,14,no,
2/15/19 18:42,2,Thai Kitchen,Sandburg,2/15/19 18:42,,,,yes,I'm not ready to go
2/15/19 18:42,1,Sandburg,"2949 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:56,2/15/19 18:59,14,no,
2/15/19 18:43,1,Klotsche,"2944 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:03,2/15/19 19:07,20,no,
2/15/19 18:45,5,Culver's,Sandburg,,2/15/19 19:03,2/15/19 19:09,18,no,
2/15/19 18:46,1,"1111 East Capitol Drive, Milwaukee, Wisconsin 53211, United States","3400 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",2/15/19 18:46,,,,yes,I'm not ready to go
2/15/19 18:46,5,Culver's,Sandburg,2/15/19 18:47,,,,yes,It took too long to receive my ETA
2/15/19 18:47,3,Purin Hall,Metro Market Shorewood,,2/15/19 19:11,2/15/19 19:29,24,no,
2/15/19 18:47,1,Arch Court,"2526 North Farwell Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:02,2/15/19 19:09,15,no,
2/15/19 18:48,1,Klotsche,"2612 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 18:59,2/15/19 19:00,11,no,
2/15/19 18:48,2,Sandburg,"Blaze Pizza, 2907 N Oakland Ave, Milwaukee, Wisconsin, United States, 53211",2/15/19 18:49,,,,yes,I'm not ready to go
2/15/19 18:49,1,Lapham,"2545 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",2/15/19 19:00,,,,yes,He just pass me
2/15/19 18:49,1,Sandburg,"1824 East Park Place, Milwaukee, Wisconsin 53211, United States",2/15/19 18:54,,,,yes,I'm not ready to go
2/15/19 18:49,1,Ian's,"2639 North Oakland Avenue, Milwaukee, Wisconsin",,2/15/19 19:03,2/15/19 19:14,13,no,
2/15/19 18:50,2,"The Halal Guys, 3133 N Oakland Ave, Milwaukee, Wisconsin 53211, United States",Riverview,,2/15/19 19:05,2/15/19 19:15,14,no,
2/15/19 18:51,1,Cambridge Commons,"2576 North Stowell Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:19,2/15/19 19:28,27,no,
2/15/19 18:52,2,Sandburg,"Blaze Pizza, 2907 N Oakland Ave, Milwaukee, Wisconsin, United States, 53211",,2/15/19 19:11,2/15/19 19:14,19,no,
2/15/19 18:52,4,Sandburg,Culver's,,2/15/19 18:57,2/15/19 19:03,5,no,
2/15/19 18:53,3,Sandburg,Goodwill - Oakland,2/15/19 18:54,,,,yes,I've had a change in my plans
2/15/19 18:53,1,Sandburg,Walgreensâ€“Oakland,2/15/19 18:56,,,,yes,I'm not ready to go
2/15/19 18:55,1,Library,CVSâ€“Brady,,2/15/19 19:04,2/15/19 19:15,8,no,
2/15/19 18:55,3,Sandburg,Goodwill - Oakland,2/15/19 18:56,,,,yes,I've had a change in my plans
2/15/19 18:56,3,Sandburg,Goodwill - Oakland,2/15/19 18:57,,,,yes,Wait time is too long
2/15/19 18:57,1,"2971 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Cambridge Commons,,2/15/19 19:10,2/15/19 19:18,12,no,
2/15/19 18:58,3,Blaze Pizza,Sandburg,,2/15/19 19:15,2/15/19 19:18,16,no,
2/15/19 18:59,1,"2925 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Qdoba,,2/15/19 19:21,2/15/19 19:25,22,no,
2/15/19 19:00,2,"1315 East Elmdale Court, Milwaukee, Wisconsin 53211, United States","2612 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:11,2/15/19 19:19,11,no,
2/15/19 19:01,2,"1315 East Elmdale Court, Milwaukee, Wisconsin 53211, United States","2612 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",2/15/19 19:03,,,,yes,Wait time is too long
2/15/19 19:01,1,"2728 North Downer Avenue, Milwaukee, Wisconsin 53211, United States","2459 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:19,2/15/19 19:23,18,no,
2/15/19 19:01,1,"2634 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Metro Market Shorewood,,2/15/19 19:16,2/15/19 19:29,15,no,
2/15/19 19:02,4,Cambridge Commons,"2859 North Cramer Street, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:10,2/15/19 19:15,8,no,
2/15/19 19:02,2,Sandburg,"Qdoba Mexican Grill, 3101 N Oakland Ave, Milwaukee, Wisconsin 53211, United States",2/15/19 19:03,,,,yes,It took too long to receive my ETA
2/15/19 19:03,1,"2946 N Maryland Ave, Milwaukee, WI 53211, USA",Metro Market Shorewood,2/15/19 19:22,,,,no,No show
2/15/19 19:04,2,Sandburg,"Qdoba Mexican Grill, 3101 N Oakland Ave, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:25,2/15/19 19:27,20,no,
2/15/19 19:04,1,"Sendik's on Downer, 2643 N Downer Ave, Milwaukee, Wisconsin, United States, 53211","2480 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:32,2/15/19 19:38,27,no,
2/15/19 19:06,3,Noodles & Company,Sandburg,,2/15/19 19:12,2/15/19 19:15,6,no,
2/15/19 19:07,4,Cambridge Commons,"926 East Center Street, Milwaukee, Wisconsin 53212, United States",2/15/19 19:07,,,,yes,I'm not ready to go
2/15/19 19:07,1,"1869 North Cambridge Avenue, Milwaukee, Wisconsin 53202, United States","3605 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",2/15/19 19:11,,,,yes,Wait time is too long
2/15/19 19:09,3,"1927 East Newberry Boulevard, Milwaukee, Wisconsin 53211, United States","1806 E Thomas Ave, Milwaukee, WI 53211, USA",,2/15/19 19:20,2/15/19 19:23,10,no,
2/15/19 19:09,1,Cafe Hollander,"3044 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:27,2/15/19 19:30,18,no,
2/15/19 19:10,1,"SunSeekers By Rosie, 2141 N Prospect Ave, Milwaukee, Wisconsin, United States, 53202","2637 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",2/15/19 19:17,,,,yes,Wait time is too long
2/15/19 19:11,3,Sandburg,Goodwill - Oakland,2/15/19 19:24,,,,yes,It took too long to receive my ETA
2/15/19 19:12,1,Sandburg,"3228 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:34,2/15/19 19:36,22,no,
2/15/19 19:12,1,"2223 East Webster Place, Milwaukee, Wisconsin 53211, United States","3046 North Stowell Avenue, Milwaukee, Wisconsin 53211, United States",,2/15/19 19:24,2/15/19 19:28,11,no,
2/15/19 19:12,1,Sandburg,"The Park at 1824, 1824 E Park Pl, Milwaukee, Wisconsin 53211, United States",2/15/19 19:16,,,,yes,I'm not ready to go
2/15/19 19:12,2,Goodwill - Oakland,Cambridge Commons,,2/15/19 19:26,2/15/19 19:30,14,no,
2/15/19 19:13,1,"2912 North Farwell Avenue, Milwaukee, Wisconsin 53211, United States",Jalisco's,,2/15/19 19:39,2/15/19 19:45,26,no,
2/15/19 19:14,1,"3118 North Cambridge Avenue, Milwaukee, Wisconsin 53211, United States",Jalisco's,,2/15/19 19:21,2/15/19 19:45,6,no,
2/15/19 19:14,1,"Sip & Purr Cat CafÃ©, 2021 E Ivanhoe Pl, Milwaukee, Wisconsin, United States, 53202",Library,,2/15/19 19:47,2/15/19 19:52,32,no,
2/15/19 19:16,2,"2608 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",Walgreensâ€“Oakland,2/15/19 19:25,,,,yes,Wait time is too long
2/15/19 19:16,2,"2645 North Farwell Avenue, Milwaukee, Wisconsin 53211, United States",Goodwill - Oakland,,2/15/19 19:27,2/15/19 19:30,11,no,
2/15/19 19:17,3,"Noodles & Company, 3121 N Oakland Ave, Milwaukee, Wisconsin, United States, 53211","UWM Sandburg Hall, 3400 N Maryland Ave, Milwaukee, Wisconsin, United States, 53211",,2/15/19 19:21,2/15/19 19:24,4,no,
2/15/19 19:17,1,Union North,Upark,,2/15/19 19:27,2/15/19 19:36,10,no,
2/15/19 19:17,1,"2353 North Farwell Avenue, Milwaukee, Wisconsin 53211, United States",Pick n Save,,2/15/19 19:51,2/15/19 19:54,33,no,
2/15/19 19:18,1,"215 E Pleasant St, Milwaukee, WI 53212, USA",Klotsche,2/15/19 19:23,,,,yes,-
2/15/19 19:19,3,"Sip & Purr Cat CafÃ©, 2021 E Ivanhoe Pl, Milwaukee, Wisconsin, United States, 53202",Sandburg,2/15/19 19:19,,,,yes,I'm not ready to go
2/15/19 19:20,1,"4121 North Ardmore Avenue, Milwaukee, Wisconsin 53211, United States","272 E Capitol Dr, Milwaukee, WI 53212, USA",2/15/19 19:26,,,,yes,I've had a change in my plans
